,new_cum_rainfall,new_hours,new_intensity,new_extracted_Values,status
0,223.153,6.123,36.44504327943818,3,yes
1,227.152,6.0,37.858666666666664,4,yes
2,321.524,5.128,62.699687987519496,4,yes
3,120.583,3.2340929446482445,37.28495193669061,1,Generated_No
4,90.583,8.284410897825271,10.93415103586651,1,Generated_No
5,120.083,3.3174196126904416,36.19771208340212,2,Generated_No
6,117.083,6.670352446460667,17.552745666703867,2,Generated_No
7,114.083,3.054704647656062,37.34665480262985,1,Generated_No
8,117.083,6.329031572066288,18.49935470645393,1,Generated_No
9,131.75,3.740459357371905,35.222946545412874,1,Generated_No
10,117.75,7.231412533893586,16.28312579984982,1,Generated_No
11,127.167,2.466700289068326,51.553486478907026,3,Generated_No
12,78.167,9.673744163828108,8.08032532969816,3,Generated_No
13,165.083,3.397634334944304,48.587630017197284,2,Generated_No
14,79.083,6.263935786954016,12.625129421777796,2,Generated_No
15,146.833,3.265644792050872,44.962942803031176,3,Generated_No
16,125.833,9.203025920232738,13.673002889555892,3,Generated_No
17,154.833,2.727457764548194,56.76824844459076,1,Generated_No
18,80.833,11.57326787758978,6.984457705029297,1,Generated_No
19,90.083,3.498407285520083,25.74971769949536,1,Generated_No
20,128.083,10.709775864507389,11.959447295668625,1,Generated_No
21,108.833,2.917009441353703,37.30978667984483,2,Generated_No
22,90.833,9.750061915308397,9.316145967994801,2,Generated_No
23,71.167,2.7188779853740668,26.175135619485605,3,Generated_No
24,71.167,6.9247147958200745,10.277246370198254,3,Generated_No
25,119.25,3.539074733073509,33.69524776789253,2,Generated_No
26,40.25,6.972172909454609,5.772949197146133,2,Generated_No
27,146.083,2.960178343610835,49.34939150382659,1,Generated_No
28,115.083,8.551982303769774,13.456880043971863,1,Generated_No
29,131.0,3.634212752031641,36.04632115353368,1,Generated_No
30,91.0,9.166877681124964,9.927044209106588,1,Generated_No
31,71.333,2.4629794005887407,28.96207738601015,3,Generated_No
32,116.333,8.569928736766876,13.574558619245675,3,Generated_No
33,67.417,3.433653565403529,19.634188107756014,2,Generated_No
34,119.417,7.007634366978309,17.040986122609674,2,Generated_No
35,134.917,4.168006696531374,32.36966968221963,1,Generated_No
36,139.917,10.327646801269058,13.547810328177281,1,Generated_No
37,103.167,2.6218980076166005,39.348212516390944,1,Generated_No
38,71.167,10.566523656217615,6.735138472729723,1,Generated_No
39,84.333,3.8849225082804297,21.707768898929217,1,Generated_No
40,67.333,6.5837475715132445,10.227153952763686,1,Generated_No
41,102.167,4.544739271137592,22.480277504330104,2,Generated_No
42,117.167,7.863953930408434,14.899248016565458,2,Generated_No
43,117.583,4.230182374132007,27.796201109207946,1,Generated_No
44,88.583,9.530912648390984,9.29428306269858,1,Generated_No
45,108.167,4.353182650477637,24.847797274973463,4,Generated_No
46,119.167,7.537030567512886,15.810868608341526,4,Generated_No
47,57.5,3.591503600912888,16.010007615023596,2,Generated_No
48,87.5,7.8999016328701845,11.076087281381703,2,Generated_No
49,85.833,4.168451942695811,20.591097409771333,1,Generated_No
50,96.833,10.38654416446988,9.322927671288852,1,Generated_No
51,170.833,3.237572058415096,52.765775376634764,3,Generated_No
52,129.833,8.886701117516658,14.609808328546684,3,Generated_No
53,133.167,2.7739113658297434,48.006941260059534,1,Generated_No
54,56.167,8.007937700029492,7.01391570513756,1,Generated_No
55,137.5,2.2113207435285576,62.18003444429964,3,Generated_No
56,66.5,7.491490714951223,8.876737959146356,3,Generated_No
57,129.75,4.107926665456903,31.585276604632035,1,Generated_No
58,68.75,9.912265520926514,6.935851330339851,1,Generated_No
59,142.167,3.3054295530755398,43.01014367942605,3,Generated_No
60,43.167,7.972534367500354,5.414463959662333,3,Generated_No
61,156.083,3.9651681090302535,39.36352651594705,1,Generated_No
62,92.083,9.92319496378235,9.279571784700822,1,Generated_No
63,135.083,4.054650610370709,33.31557092847751,1,Generated_No
64,89.083,10.196934620272739,8.73625293457234,1,Generated_No
65,167.0,3.2626967963377567,51.18465196871822,1,Generated_No
66,124.0,6.692249759270359,18.528896030550936,1,Generated_No
67,174.083,3.4570774241616244,50.355539850894964,2,Generated_No
68,92.083,8.29507296465466,11.100927067473192,2,Generated_No
69,137.333,2.802530229875873,49.00321806915268,1,Generated_No
70,85.333,10.027130056617375,8.510211747346862,1,Generated_No
71,124.667,2.4421093415292576,51.0489018161378,2,Generated_No
72,97.667,9.005655064463113,10.845074489406127,2,Generated_No
73,102.75,2.858433929370017,35.94625677517252,3,Generated_No
74,80.75,8.83448927876357,9.14031331659518,3,Generated_No
75,84.5,3.0116126610907923,28.05805709735411,1,Generated_No
76,81.5,10.187174138068855,8.000255899763156,1,Generated_No
77,154.083,4.462497202126181,34.52842500978742,1,Generated_No
78,90.083,9.361811018271336,9.622390349921194,1,Generated_No
79,124.167,3.269285786407278,37.97985496289422,2,Generated_No
80,87.167,9.12681603573569,9.550647198179632,2,Generated_No
81,112.0,3.307437872606991,33.86306993930601,1,Generated_No
82,132.0,8.745017676798936,15.094309111598943,1,Generated_No
83,124.333,2.305249129569612,53.934734604243346,1,Generated_No
84,120.333,6.299669153367547,19.101479311127772,1,Generated_No
85,160.417,3.3312927967181176,48.15457835409654,2,Generated_No
86,97.417,8.730912548687753,11.157711116307272,2,Generated_No
87,78.167,4.446484218674075,17.57950689934285,2,Generated_No
88,123.167,9.36060451828112,13.158017707024873,2,Generated_No
89,130.75,3.6580795442864003,35.74279848676884,3,Generated_No
90,90.75,8.849654233174464,10.25463793374072,3,Generated_No
91,127.0,4.555706233547501,27.877126726212516,1,Generated_No
92,120.0,8.982844931607062,13.358796785834262,1,Generated_No
93,169.583,4.163849357099896,40.72745804572379,2,Generated_No
94,103.583,8.338830371271845,12.421766049691383,2,Generated_No
95,87.5,4.219253009186067,20.738268079562157,1,Generated_No
96,125.5,8.022824728626162,15.642869468680361,1,Generated_No
97,79.333,4.205764654591484,18.86291947253663,1,Generated_No
98,74.333,6.179999753830781,12.027994006621665,1,Generated_No
99,104.583,3.0024684694791253,34.83233914464497,1,Generated_No
100,104.583,10.609667906055202,9.857330212976022,1,Generated_No
101,174.083,4.314106346594621,40.35204188636054,2,Generated_No
102,120.083,8.19187877816362,14.658786250608935,2,Generated_No
